Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,97.7,98.7132034301758,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9900512695313,100,100,..,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.6680183410645,41.9628944396973,43.2592582702637,..,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9591217041016,100,100,..,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,75.92,88,85.1604232788086,..,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.9637756347656,98.2511520385742,99.5400161743164,..,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,38.9702529907227,34.5,41.529239654541,..,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..,..
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5963287353516,97.7,100,..,..
