Indicator Name,Indicator Code,Economy Name,Economy Code,2020 [YR2020]
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Afghanistan,AFG,0.811160564
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Albania,ALB,0.950911701
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Algeria,DZA,0.920461476
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,American Samoa,ASM,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Andorra,AND,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Angola,AGO,0.783179283
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Antigua and Barbuda,ATG,0.917915642
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Argentina,ARG,0.921317935
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Armenia,ARM,0.935094476
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Aruba,ABW,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Australia,AUS,0.960026324
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Austria,AUT,0.95684433
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Azerbaijan,AZE,0.911737084
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,"Bahamas, The",BHS,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bahrain,BHR,0.944542408
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bangladesh,BGD,0.887490451
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Barbados,BRB,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Belarus,BLR,0.923246622
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Belgium,BEL,0.948368788
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Belize,BLZ,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Benin,BEN,0.791960597
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bermuda,BMU,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bhutan,BTN,0.808811426
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bolivia,BOL,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bosnia and Herzegovina,BIH,0.94103688
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Botswana,BWA,0.839711845
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Brazil,BRA,0.909704208
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,British Virgin Islands,VGB,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Brunei Darussalam,BRN,0.90245235
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Bulgaria,BGR,0.916523039
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Burkina Faso,BFA,0.77643913
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Burundi,BDI,0.751087248
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cabo Verde,CPV,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cambodia,KHM,0.869816959
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cameroon,CMR,0.722602189
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Canada,CAN,0.953041434
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cayman Islands,CYM,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Central African Republic,CAF,0.632054925
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Chad,TCD,0.667302072
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Channel Islands,CHI,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Chile,CHL,0.941492498
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,China,CHN,0.94054693
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Colombia,COL,0.922924578
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Comoros,COM,0.807891488
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,"Congo, Dem. Rep.",COD,0.778118968
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,"Congo, Rep.",COG,0.762858748
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Costa Rica,CRI,0.943805814
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cote d'Ivoire,CIV,0.679018319
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Croatia,HRV,0.950894475
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cuba,CUB,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Curacao,CUW,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Cyprus,CYP,0.967579901
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Czech Republic,CZE,0.948098361
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Denmark,DNK,0.948270738
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Djibouti,DJI,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Dominica,DMA,0.896381855
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Dominican Republic,DOM,0.886451244
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Ecuador,ECU,0.913066864
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,"Egypt, Arab Rep.",EGY,0.895961821
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,El Salvador,SLV,0.898103893
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Equatorial Guinea,GNQ,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Eritrea,ERI,..
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Estonia,EST,0.944504857
"Survival Rate from Age 15-60, Female",HD.HCI.AMRT.FE,Eswatini,SWZ,0.695531964
