Indicator Name,Indicator Code,Economy Name,Economy Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Survival Rate from Age 15-60,HD.HCI.AMRT,Afghanistan,AFG,..,0.7797,0.780381858,..,0.787740827
Survival Rate from Age 15-60,HD.HCI.AMRT,Albania,ALB,..,0.9365,0.927792549,..,0.929365993
Survival Rate from Age 15-60,HD.HCI.AMRT,Algeria,DZA,..,0.907,0.906925499,..,0.909282267
Survival Rate from Age 15-60,HD.HCI.AMRT,American Samoa,ASM,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Andorra,AND,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Angola,AGO,..,0.7638,0.721480727,..,0.729358733
Survival Rate from Age 15-60,HD.HCI.AMRT,Antigua and Barbuda,ATG,..,..,0.894959629,..,0.897207558
Survival Rate from Age 15-60,HD.HCI.AMRT,Argentina,ARG,..,0.889,0.885885715,..,0.888269186
Survival Rate from Age 15-60,HD.HCI.AMRT,Armenia,ARM,..,0.8815,0.883577228,..,0.885818601
Survival Rate from Age 15-60,HD.HCI.AMRT,Aruba,ABW,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Australia,AUS,..,0.9484,0.944260776,..,0.946141779
Survival Rate from Age 15-60,HD.HCI.AMRT,Austria,AUT,..,0.936,0.936358631,..,0.937184393
Survival Rate from Age 15-60,HD.HCI.AMRT,Azerbaijan,AZE,..,0.8723,0.880382419,..,0.881958127
Survival Rate from Age 15-60,HD.HCI.AMRT,"Bahamas, The",BHS,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Bahrain,BHR,..,0.9331,0.932852387,..,0.934414566
Survival Rate from Age 15-60,HD.HCI.AMRT,Bangladesh,BGD,..,0.8748,0.864222169,..,0.868512273
Survival Rate from Age 15-60,HD.HCI.AMRT,Barbados,BRB,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Belarus,BLR,..,..,0.849724472,..,0.853127122
Survival Rate from Age 15-60,HD.HCI.AMRT,Belgium,BEL,..,0.9291,0.929122746,..,0.931235254
Survival Rate from Age 15-60,HD.HCI.AMRT,Belize,BLZ,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Benin,BEN,..,0.7627,0.762383401,..,0.76826036
Survival Rate from Age 15-60,HD.HCI.AMRT,Bermuda,BMU,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Bhutan,BTN,..,..,0.800723672,..,0.806836605
Survival Rate from Age 15-60,HD.HCI.AMRT,Bolivia,BOL,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Bosnia and Herzegovina,BIH,..,0.9063,0.911312163,..,0.913629889
Survival Rate from Age 15-60,HD.HCI.AMRT,Botswana,BWA,..,0.7942,0.795901418,..,0.798841
Survival Rate from Age 15-60,HD.HCI.AMRT,Brazil,BRA,..,0.8594,0.857953668,..,0.861382365
Survival Rate from Age 15-60,HD.HCI.AMRT,British Virgin Islands,VGB,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Brunei Darussalam,BRN,..,..,0.876307905,..,0.878938317
Survival Rate from Age 15-60,HD.HCI.AMRT,Bulgaria,BGR,..,0.8665,0.863490522,..,0.866138518
Survival Rate from Age 15-60,HD.HCI.AMRT,Burkina Faso,BFA,..,0.7526,0.752631903,..,0.76137054
Survival Rate from Age 15-60,HD.HCI.AMRT,Burundi,BDI,..,0.7142,0.714626074,..,0.722941101
Survival Rate from Age 15-60,HD.HCI.AMRT,Cabo Verde,CPV,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Cambodia,KHM,..,0.8332,0.83320564,..,0.837721884
Survival Rate from Age 15-60,HD.HCI.AMRT,Cameroon,CMR,..,0.6709,0.696740687,..,0.704236269
Survival Rate from Age 15-60,HD.HCI.AMRT,Canada,CAN,..,0.9408,0.937650263,..,0.939972162
Survival Rate from Age 15-60,HD.HCI.AMRT,Cayman Islands,CYM,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Central African Republic,CAF,..,..,0.584518075,..,0.591395438
Survival Rate from Age 15-60,HD.HCI.AMRT,Chad,TCD,..,0.6423,0.641002119,..,0.646125257
Survival Rate from Age 15-60,HD.HCI.AMRT,Channel Islands,CHI,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Chile,CHL,..,0.9141,0.915409148,..,0.917748094
Survival Rate from Age 15-60,HD.HCI.AMRT,China,CHN,..,0.9212,0.921419442,..,0.923591137
Survival Rate from Age 15-60,HD.HCI.AMRT,Colombia,COL,..,0.8621,0.884046614,..,0.886651099
Survival Rate from Age 15-60,HD.HCI.AMRT,Comoros,COM,..,0.7775,0.777510166,..,0.781999648
Survival Rate from Age 15-60,HD.HCI.AMRT,"Congo, Dem. Rep.",COD,..,0.7482,0.748164415,..,0.753556192
Survival Rate from Age 15-60,HD.HCI.AMRT,"Congo, Rep.",COG,..,0.7524,0.737309575,..,0.742921948
Survival Rate from Age 15-60,HD.HCI.AMRT,Costa Rica,CRI,..,0.9172,0.913373172,..,0.915990591
Survival Rate from Age 15-60,HD.HCI.AMRT,Cote d'Ivoire,CIV,..,0.6139,0.652050018,..,0.660045505
Survival Rate from Age 15-60,HD.HCI.AMRT,Croatia,HRV,..,0.9085,0.914834857,..,0.917376697
Survival Rate from Age 15-60,HD.HCI.AMRT,Cuba,CUB,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Curacao,CUW,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Cyprus,CYP,..,0.9503,0.950337172,..,0.952006638
Survival Rate from Age 15-60,HD.HCI.AMRT,Czech Republic,CZE,..,0.9159,0.920240998,..,0.922457218
Survival Rate from Age 15-60,HD.HCI.AMRT,Denmark,DNK,..,0.9313,0.92960453,..,0.931700647
Survival Rate from Age 15-60,HD.HCI.AMRT,Djibouti,DJI,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Dominica,DMA,..,..,0.859372973,..,0.859372973
Survival Rate from Age 15-60,HD.HCI.AMRT,Dominican Republic,DOM,..,0.8407,0.842150986,..,0.844707489
Survival Rate from Age 15-60,HD.HCI.AMRT,Ecuador,ECU,..,0.8792,0.873195529,..,0.876447916
Survival Rate from Age 15-60,HD.HCI.AMRT,"Egypt, Arab Rep.",EGY,..,0.8533,0.853567719,..,0.856793642
Survival Rate from Age 15-60,HD.HCI.AMRT,El Salvador,SLV,..,0.828,0.816816747,..,0.821133435
Survival Rate from Age 15-60,HD.HCI.AMRT,Equatorial Guinea,GNQ,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Eritrea,ERI,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Estonia,EST,..,0.8819,0.894823074,..,0.89744544
Survival Rate from Age 15-60,HD.HCI.AMRT,Eswatini,SWZ,..,0.5884,0.591534376,..,0.603710413
Survival Rate from Age 15-60,HD.HCI.AMRT,Ethiopia,ETH,..,0.7858,0.785764754,..,0.792981684
Survival Rate from Age 15-60,HD.HCI.AMRT,Faroe Islands,FRO,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Fiji,FJI,..,..,0.780573368,..,0.783999324
Survival Rate from Age 15-60,HD.HCI.AMRT,Finland,FIN,..,0.9283,0.92776376,..,0.930211067
Survival Rate from Age 15-60,HD.HCI.AMRT,France,FRA,..,0.9256,0.92416203,..,0.926030695
Survival Rate from Age 15-60,HD.HCI.AMRT,French Polynesia,PYF,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Gabon,GAB,..,0.7725,0.786255479,..,0.790453851
Survival Rate from Age 15-60,HD.HCI.AMRT,"Gambia, The",GMB,..,0.7446,0.74430728,..,0.752527833
Survival Rate from Age 15-60,HD.HCI.AMRT,Georgia,GEO,..,0.8519,0.849843621,..,0.85284555
Survival Rate from Age 15-60,HD.HCI.AMRT,Germany,DEU,..,0.9313,0.928100526,..,0.930892467
Survival Rate from Age 15-60,HD.HCI.AMRT,Ghana,GHA,..,0.763,0.762185216,..,0.768254459
Survival Rate from Age 15-60,HD.HCI.AMRT,Gibraltar,GIB,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Greece,GRC,..,0.9374,0.930487394,..,0.933005095
Survival Rate from Age 15-60,HD.HCI.AMRT,Greenland,GRL,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Grenada,GRD,..,..,0.850085139,..,0.85086751
Survival Rate from Age 15-60,HD.HCI.AMRT,Guam,GUM,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Guatemala,GTM,..,0.8418,0.84315604,..,0.846656263
Survival Rate from Age 15-60,HD.HCI.AMRT,Guinea,GIN,..,0.7501,0.753079057,..,0.759966254
Survival Rate from Age 15-60,HD.HCI.AMRT,Guinea-Bissau,GNB,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Guyana,GUY,..,0.7924,0.772076905,..,0.774362803
Survival Rate from Age 15-60,HD.HCI.AMRT,Haiti,HTI,..,0.7627,0.770172477,..,0.775892138
Survival Rate from Age 15-60,HD.HCI.AMRT,Honduras,HND,..,0.8565,0.85765177,..,0.860411644
Survival Rate from Age 15-60,HD.HCI.AMRT,"Hong Kong SAR, China",HKG,..,0.951,0.953214109,..,0.954613507
Survival Rate from Age 15-60,HD.HCI.AMRT,Hungary,HUN,..,0.8677,0.876970291,..,0.879628778
Survival Rate from Age 15-60,HD.HCI.AMRT,Iceland,ISL,..,0.9524,0.952734232,..,0.954819381
Survival Rate from Age 15-60,HD.HCI.AMRT,India,IND,..,0.8252,0.821157396,..,0.825507641
Survival Rate from Age 15-60,HD.HCI.AMRT,Indonesia,IDN,..,0.8276,0.846143067,..,0.849707961
Survival Rate from Age 15-60,HD.HCI.AMRT,"Iran, Islamic Rep.",IRN,..,0.9209,0.932179511,..,0.934482455
Survival Rate from Age 15-60,HD.HCI.AMRT,Iraq,IRQ,..,0.841,0.841645718,..,0.844261885
Survival Rate from Age 15-60,HD.HCI.AMRT,Ireland,IRL,..,0.9456,0.939921677,..,0.944304645
Survival Rate from Age 15-60,HD.HCI.AMRT,Isle of Man,IMN,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Israel,ISR,..,0.9485,0.948517561,..,0.950315595
Survival Rate from Age 15-60,HD.HCI.AMRT,Italy,ITA,..,0.9504,0.951048434,..,0.95279336
Survival Rate from Age 15-60,HD.HCI.AMRT,Jamaica,JAM,..,0.8699,0.859344244,..,0.861376643
Survival Rate from Age 15-60,HD.HCI.AMRT,Japan,JPN,..,0.9448,0.947144032,..,0.948549092
Survival Rate from Age 15-60,HD.HCI.AMRT,Jordan,JOR,..,0.8919,0.89213568,..,0.894166231
Survival Rate from Age 15-60,HD.HCI.AMRT,Kazakhstan,KAZ,..,0.7965,0.84174484,..,0.844640255
Survival Rate from Age 15-60,HD.HCI.AMRT,Kenya,KEN,..,0.787,0.767498732,..,0.773602128
Survival Rate from Age 15-60,HD.HCI.AMRT,Kiribati,KIR,..,0.8067,0.804681957,..,0.808998704
Survival Rate from Age 15-60,HD.HCI.AMRT,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,"Korea, Rep.",KOR,..,0.9396,0.942729652,..,0.944547057
Survival Rate from Age 15-60,HD.HCI.AMRT,Kosovo,XKX,..,0.906,0.906000018,..,0.906000018
Survival Rate from Age 15-60,HD.HCI.AMRT,Kuwait,KWT,..,0.9225,0.940710187,..,0.941962719
Survival Rate from Age 15-60,HD.HCI.AMRT,Kyrgyz Republic,KGZ,..,0.8236,0.846701503,..,0.849434614
Survival Rate from Age 15-60,HD.HCI.AMRT,Lao PDR,LAO,..,0.8125,0.815090597,..,0.821788013
Survival Rate from Age 15-60,HD.HCI.AMRT,Latvia,LVA,..,0.8461,0.841074049,..,0.844131172
Survival Rate from Age 15-60,HD.HCI.AMRT,Lebanon,LBN,..,0.9409,0.933092237,..,0.934591949
Survival Rate from Age 15-60,HD.HCI.AMRT,Lesotho,LSO,..,0.5015,0.511657,..,0.522543788
Survival Rate from Age 15-60,HD.HCI.AMRT,Liberia,LBR,..,0.7706,0.769925714,..,0.775718451
Survival Rate from Age 15-60,HD.HCI.AMRT,Libya,LBY,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Liechtenstein,LIE,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Lithuania,LTU,..,0.833,0.840333879,..,0.843678296
Survival Rate from Age 15-60,HD.HCI.AMRT,Luxembourg,LUX,..,0.9395,0.939460397,..,0.941968441
Survival Rate from Age 15-60,HD.HCI.AMRT,"Macao SAR, China",MAC,..,0.9592,0.959171355,..,0.960422873
Survival Rate from Age 15-60,HD.HCI.AMRT,Madagascar,MDG,..,0.791,0.789196908,..,0.796706557
Survival Rate from Age 15-60,HD.HCI.AMRT,Malawi,MWI,..,0.7278,0.726037264,..,0.73767513
Survival Rate from Age 15-60,HD.HCI.AMRT,Malaysia,MYS,..,0.8793,0.874349475,..,0.877020955
Survival Rate from Age 15-60,HD.HCI.AMRT,Maldives,MDV,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Mali,MLI,..,0.7426,0.742645502,..,0.749974489
Survival Rate from Age 15-60,HD.HCI.AMRT,Malta,MLT,..,0.947,0.949394941,..,0.951060832
Survival Rate from Age 15-60,HD.HCI.AMRT,Marshall Islands,MHL,..,..,0.699164331,..,0.699164331
Survival Rate from Age 15-60,HD.HCI.AMRT,Mauritania,MRT,..,0.7993,0.801238537,..,0.804659128
Survival Rate from Age 15-60,HD.HCI.AMRT,Mauritius,MUS,..,0.8588,0.856415331,..,0.859261036
Survival Rate from Age 15-60,HD.HCI.AMRT,Mexico,MEX,..,0.892,0.859980285,..,0.861477375
Survival Rate from Age 15-60,HD.HCI.AMRT,"Micronesia, Fed. Sts.",FSM,..,..,0.836619914,..,0.839225113
Survival Rate from Age 15-60,HD.HCI.AMRT,Moldova,MDA,..,0.8331,0.833018124,..,0.835587919
Survival Rate from Age 15-60,HD.HCI.AMRT,Monaco,MCO,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Mongolia,MNG,..,0.7912,0.791350126,..,0.795992613
Survival Rate from Age 15-60,HD.HCI.AMRT,Montenegro,MNE,..,0.9072,0.902855635,..,0.905613959
Survival Rate from Age 15-60,HD.HCI.AMRT,Morocco,MAR,..,0.9316,0.931605875,..,0.934124112
Survival Rate from Age 15-60,HD.HCI.AMRT,Mozambique,MOZ,..,0.6937,0.669377148,..,0.680878818
Survival Rate from Age 15-60,HD.HCI.AMRT,Myanmar,MMR,..,0.8081,0.800674319,..,0.804885268
Survival Rate from Age 15-60,HD.HCI.AMRT,Namibia,NAM,..,0.7124,0.69775337,..,0.708560586
Survival Rate from Age 15-60,HD.HCI.AMRT,Nauru,NRU,..,..,0.930999994,..,0.930999994
Survival Rate from Age 15-60,HD.HCI.AMRT,Nepal,NPL,..,0.8544,0.849679589,..,0.85617137
Survival Rate from Age 15-60,HD.HCI.AMRT,Netherlands,NLD,..,0.9444,0.944421709,..,0.946276546
Survival Rate from Age 15-60,HD.HCI.AMRT,New Caledonia,NCL,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,New Zealand,NZL,..,0.9388,0.937733233,..,0.939959705
Survival Rate from Age 15-60,HD.HCI.AMRT,Nicaragua,NIC,..,0.8569,0.847774744,..,0.851386786
Survival Rate from Age 15-60,HD.HCI.AMRT,Niger,NER,..,0.758,0.758806348,..,0.766625524
Survival Rate from Age 15-60,HD.HCI.AMRT,Nigeria,NGA,..,0.6519,0.651890278,..,0.65854013
Survival Rate from Age 15-60,HD.HCI.AMRT,North Macedonia,MKD,..,0.9051,0.906790495,..,0.908866405
Survival Rate from Age 15-60,HD.HCI.AMRT,Northern Mariana Islands,MNP,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Norway,NOR,..,0.9443,0.94266808,..,0.944601417
Survival Rate from Age 15-60,HD.HCI.AMRT,Oman,OMN,..,0.9068,0.908743083,..,0.911910355
Survival Rate from Age 15-60,HD.HCI.AMRT,Pakistan,PAK,..,0.8414,0.8432917,..,0.845309734
Survival Rate from Age 15-60,HD.HCI.AMRT,Palau,PLW,..,..,0.86500001,..,0.86500001
Survival Rate from Age 15-60,HD.HCI.AMRT,Panama,PAN,..,0.8877,0.885625422,..,0.888129532
Survival Rate from Age 15-60,HD.HCI.AMRT,Papua New Guinea,PNG,..,0.7775,0.777369142,..,0.782354057
Survival Rate from Age 15-60,HD.HCI.AMRT,Paraguay,PRY,..,0.8557,0.856236577,..,0.857928097
Survival Rate from Age 15-60,HD.HCI.AMRT,Peru,PER,..,0.8791,0.882528484,..,0.885788918
Survival Rate from Age 15-60,HD.HCI.AMRT,Philippines,PHL,..,0.8015,0.814410567,..,0.816831172
Survival Rate from Age 15-60,HD.HCI.AMRT,Poland,POL,..,0.8865,0.891248643,..,0.894227266
Survival Rate from Age 15-60,HD.HCI.AMRT,Portugal,PRT,..,0.9289,0.930385947,..,0.932934225
Survival Rate from Age 15-60,HD.HCI.AMRT,Puerto Rico,PRI,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Qatar,QAT,..,0.9405,0.96018362,..,0.961434424
Survival Rate from Age 15-60,HD.HCI.AMRT,Romania,ROU,..,0.8688,0.875311852,..,0.877821922
Survival Rate from Age 15-60,HD.HCI.AMRT,Russian Federation,RUS,..,0.784,0.799845576,..,0.803582013
Survival Rate from Age 15-60,HD.HCI.AMRT,Rwanda,RWA,..,0.8081,0.807763755,..,0.81438154
Survival Rate from Age 15-60,HD.HCI.AMRT,Samoa,WSM,..,..,0.887924373,..,0.89001441
Survival Rate from Age 15-60,HD.HCI.AMRT,San Marino,SMR,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Sao Tome and Principe,STP,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Saudi Arabia,SAU,..,0.9124,0.913547933,..,0.915835381
Survival Rate from Age 15-60,HD.HCI.AMRT,Senegal,SEN,..,0.8193,0.819852054,..,0.825250804
Survival Rate from Age 15-60,HD.HCI.AMRT,Serbia,SRB,..,0.8883,0.890374303,..,0.892961323
Survival Rate from Age 15-60,HD.HCI.AMRT,Seychelles,SYC,..,0.8399,0.846310556,..,0.848127484
Survival Rate from Age 15-60,HD.HCI.AMRT,Sierra Leone,SLE,..,0.6104,0.62341547,..,0.631157756
Survival Rate from Age 15-60,HD.HCI.AMRT,Singapore,SGP,..,0.9503,0.950893223,..,0.952393055
Survival Rate from Age 15-60,HD.HCI.AMRT,Sint Maarten (Dutch part),SXM,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Slovak Republic,SVK,..,0.8919,0.895846069,..,0.898332775
Survival Rate from Age 15-60,HD.HCI.AMRT,Slovenia,SVN,..,0.9306,0.932078004,..,0.93498975
Survival Rate from Age 15-60,HD.HCI.AMRT,Solomon Islands,SLB,..,0.8586,0.854657769,..,0.856936395
Survival Rate from Age 15-60,HD.HCI.AMRT,Somalia,SOM,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,South Africa,ZAF,..,0.6826,0.682570934,..,0.690752625
Survival Rate from Age 15-60,HD.HCI.AMRT,South Sudan,SSD,..,0.6836,0.67114079,..,0.677222729
Survival Rate from Age 15-60,HD.HCI.AMRT,Spain,ESP,..,0.9445,0.944505274,..,0.946016252
Survival Rate from Age 15-60,HD.HCI.AMRT,Sri Lanka,LKA,..,0.868,0.895721436,..,0.898495495
Survival Rate from Age 15-60,HD.HCI.AMRT,St. Kitts and Nevis,KNA,..,..,0.876999974,..,0.876999974
Survival Rate from Age 15-60,HD.HCI.AMRT,St. Lucia,LCA,..,..,0.863088906,..,0.86544627
Survival Rate from Age 15-60,HD.HCI.AMRT,St. Martin (French part),MAF,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,St. Vincent and the Grenadines,VCT,..,..,0.830341816,..,0.833130836
Survival Rate from Age 15-60,HD.HCI.AMRT,Sudan,SDN,..,0.7818,0.78177011,..,0.786300719
Survival Rate from Age 15-60,HD.HCI.AMRT,Suriname,SUR,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Sweden,SWE,..,0.9481,0.947981477,..,0.949876189
Survival Rate from Age 15-60,HD.HCI.AMRT,Switzerland,CHE,..,0.9521,0.952182114,..,0.953842223
Survival Rate from Age 15-60,HD.HCI.AMRT,Syrian Arab Republic,SYR,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Tajikistan,TJK,..,0.868,0.868001878,..,0.871234179
Survival Rate from Age 15-60,HD.HCI.AMRT,Tanzania,TZA,..,0.7923,0.775059462,..,0.781867921
Survival Rate from Age 15-60,HD.HCI.AMRT,Thailand,THA,..,0.8545,0.865901768,..,0.869196296
Survival Rate from Age 15-60,HD.HCI.AMRT,Timor-Leste,TLS,..,0.8544,0.854479551,..,0.857693791
Survival Rate from Age 15-60,HD.HCI.AMRT,Togo,TGO,..,0.7354,0.735668361,..,0.743062496
Survival Rate from Age 15-60,HD.HCI.AMRT,Tonga,TON,..,0.8697,0.831150293,..,0.833986342
Survival Rate from Age 15-60,HD.HCI.AMRT,Trinidad and Tobago,TTO,..,0.8331,0.851166546,..,0.853208899
Survival Rate from Age 15-60,HD.HCI.AMRT,Tunisia,TUN,..,0.9117,0.911774397,..,0.914562702
Survival Rate from Age 15-60,HD.HCI.AMRT,Turkey,TUR,..,0.8981,0.907803237,..,0.910988688
Survival Rate from Age 15-60,HD.HCI.AMRT,Turkmenistan,TKM,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Turks and Caicos Islands,TCA,..,..,..,..,..
Survival Rate from Age 15-60,HD.HCI.AMRT,Tuvalu,TUV,..,..,0.787,..,0.787
Survival Rate from Age 15-60,HD.HCI.AMRT,Uganda,UGA,..,0.6984,0.728760839,..,0.737031519
Survival Rate from Age 15-60,HD.HCI.AMRT,Ukraine,UKR,..,0.8114,0.811193049,..,0.814607322
