Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19907111419,18017749074,18869945678,18353881130,19291104008
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11386846319,11861200797,13019693451,15147020535,15279183290
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.66361E+11,1.59995E+11,1.70163E+11,1.75406E+11,1.71091E+11
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,661000000,652000000,602000000,636000000,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2789870188,2896679212,3000180750,3218316013,3154057987
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,88815697793
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1336692593,1436585185,1467977778,1605351852,1661962963
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10553337673,10546135160,11527458566,12457941907,13672802158
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2919553073,2965921788,3056424581,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.35169E+12,1.20885E+12,1.32919E+12,1.43288E+12,1.39657E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.81818E+11,3.95569E+11,4.17238E+11,4.55095E+11,4.45075E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,53074370486,37867518957,40865558912,47112941176,48047647059
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11710800000,11928500000,12490700000,13022100000,13578800000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,31050638298,32234973404,35473776596,37652500000,38574069149
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1.95079E+11,2.21415E+11,2.49711E+11,2.74039E+11,3.02571E+11
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4715000000,4830000000,4978000000,5086500000,5209000000
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,56454734397,47722657821,54726595249,60031262269,63080457023
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,4.6215E+11,4.7574E+11,5.02698E+11,5.43734E+11,5.33097E+11
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1723800000,1775100000,1836600000,1871200000,1879613600
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,11388160958,11821066153,12701656931,14250985959,14390709095
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6654541000,6899911000,7142316000,7224329000,7484113000
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2003598213,2158972129,2450364928,2446866405,2530547158
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33000198248,33941126200,37508642165,40287647930,40895322844
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,16211541820,16913330694,18080118128,20183510561,20164193807
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,14420593484,15646354089,17405588070,18663265549,18340480936
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.80221E+12,1.7957E+12,2.06283E+12,1.88548E+12,1.83976E+12
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12930394938,11400854268,12128104859,13567351175,13469422959
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,50647442757,53806894796,58971520599,66230155100,68558815112
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,11832159276,12833363370,14106956830,16059910871,15990803570
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3104394858,2959640987,3172292379,3036931818,3012334882
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1596800287,1662998678,1769787215,1966983317,1981845740
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,18049954289,20016747754,22177200512,24571753583,27089389787
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,30928653814,32643697596,35009262788,38694156863,39007354359
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.55613E+12,1.52824E+12,1.64988E+12,1.71626E+12,1.73643E+12
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4708336756,4909498943,5153091158,5517361238,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1695825708,1825018191,2072350151,2220978978,2220307369
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10950392220,10097778354,10000395242,11239167048,11314951343
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.43919E+11,2.5044E+11,2.77045E+11,2.98258E+11,2.82318E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.10616E+13,1.12333E+13,1.23104E+13,1.38948E+13,1.43429E+13
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,2.93482E+11,2.82825E+11,3.11884E+11,3.33569E+11,3.23616E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,966029542,1012835518,1077439663,1178530758,1165839927
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,37917704900,37134799975,38019265626,46831342213,50400746171
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,11953249530,10335424288,11198674674,13518403447,12267392147
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,54775994479,57157992434,58481858043,60553901420,61801385049
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,45814637971,47964234560,51588158718,58011466451,58539424930
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,49525747504,51601147666,55481644098,61375222347,60752588976
