Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35383128,36296400,37172386,38041754,38928000
Albania,ALB,"Population, total",SP.POP.TOTL,2876101,2873457,2866376,2854191,2850000
Algeria,DZA,"Population, total",SP.POP.TOTL,40551404,41389198,42228429,43053054,43851000
American Samoa,ASM,"Population, total",SP.POP.TOTL,55741,55620,55465,55312,55000
Andorra,AND,"Population, total",SP.POP.TOTL,77297,77001,77006,77142,77000
Angola,AGO,"Population, total",SP.POP.TOTL,28842484,29816748,30809762,31825295,32866000
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94527,95426,96286,97118,98000
Arab World,ARB,"Population, total",SP.POP.TOTL,404024435,411898967,419790591,427870270,436078000
Argentina,ARG,"Population, total",SP.POP.TOTL,43590368,44044811,44494502,44938712,45350000
Armenia,ARM,"Population, total",SP.POP.TOTL,2936146,2944809,2951776,2957731,2963000
Aruba,ABW,"Population, total",SP.POP.TOTL,104872,105366,105845,106314,107000
Australia,AUS,"Population, total",SP.POP.TOTL,24190907,24601860,24982688,25364307,25651000
Austria,AUT,"Population, total",SP.POP.TOTL,8736668,8797566,8840521,8877067,8912000
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9757812,9854033,9939771,10023318,10112000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,377931,381761,385640,389482,393000
Bahrain,BHR,"Population, total",SP.POP.TOTL,1425791,1494074,1569439,1641172,1702000
Bangladesh,BGD,"Population, total",SP.POP.TOTL,157970840,159670593,161356039,163046161,164689000
Barbados,BRB,"Population, total",SP.POP.TOTL,285796,286233,286641,287025,287000
Belarus,BLR,"Population, total",SP.POP.TOTL,9501534,9498264,9483499,9466856,9459000
Belgium,BEL,"Population, total",SP.POP.TOTL,11331422,11375158,11427054,11484055,11525000
Belize,BLZ,"Population, total",SP.POP.TOTL,368400,375769,383071,390353,398000
Benin,BEN,"Population, total",SP.POP.TOTL,10872067,11175204,11485048,11801151,12123000
