ID,Country ,Country Code,YEAR,Population,Electricity 
TUV2016,Tuvalu,TUV,2016,11225,99.68350983
TUV2017,Tuvalu,TUV,2017,11370,99.86871338
TUV2018,Tuvalu,TUV,2018,11508,100
TUV2019,Tuvalu,TUV,2019,11646,0
TUV2020,Tuvalu,TUV,2020,12000,0
NRU2019,Nauru,NRU,2019,12581,0
NRU2018,Nauru,NRU,2018,12704,99.838974
NRU2017,Nauru,NRU,2017,12876,99.67179871
NRU2020,Nauru,NRU,2020,13000,0
NRU2016,Nauru,NRU,2016,13049,99.50611115
PLW2016,Palau,PLW,2016,17725,100
PLW2017,Palau,PLW,2017,17808,100
PLW2018,Palau,PLW,2018,17907,100
PLW2020,Palau,PLW,2020,18000,0
PLW2019,Palau,PLW,2019,18008,0
VGB2016,British Virgin Islands,VGB,2016,29355,100
VGB2017,British Virgin Islands,VGB,2017,29577,100
VGB2018,British Virgin Islands,VGB,2018,29802,100
VGB2020,British Virgin Islands,VGB,2020,30000,0
VGB2019,British Virgin Islands,VGB,2019,30030,0
SMR2016,San Marino,SMR,2016,33504,100
SMR2017,San Marino,SMR,2017,33671,100
GIB2019,Gibraltar,GIB,2019,33701,0
GIB2018,Gibraltar,GIB,2018,33718,100
GIB2017,Gibraltar,GIB,2017,33728,100
GIB2016,Gibraltar,GIB,2016,33737,100
SMR2018,San Marino,SMR,2018,33785,100
SMR2019,San Marino,SMR,2019,33860,0
GIB2020,Gibraltar,GIB,2020,34000,0
SMR2020,San Marino,SMR,2020,34000,0
MAF2016,St. Martin (French part),MAF,2016,36065,100
TCA2016,Turks and Caicos Islands,TCA,2016,36559,100
MAF2017,St. Martin (French part),MAF,2017,36560,100
TCA2017,Turks and Caicos Islands,TCA,2017,37115,100
MAF2018,St. Martin (French part),MAF,2018,37264,100
LIE2016,Liechtenstein,LIE,2016,37658,100
TCA2018,Turks and Caicos Islands,TCA,2018,37665,100
LIE2017,Liechtenstein,LIE,2017,37800,100
LIE2018,Liechtenstein,LIE,2018,37910,100
LIE2020,Liechtenstein,LIE,2020,38000,0
MAF2019,St. Martin (French part),MAF,2019,38002,0
LIE2019,Liechtenstein,LIE,2019,38019,0
MCO2016,Monaco,MCO,2016,38070,100
TCA2019,Turks and Caicos Islands,TCA,2019,38191,0
MCO2017,Monaco,MCO,2017,38392,100
MCO2018,Monaco,MCO,2018,38682,100
MCO2019,Monaco,MCO,2019,38964,0
MCO2020,Monaco,MCO,2020,39000,0
TCA2020,Turks and Caicos Islands,TCA,2020,39000,0
SXM2016,Sint Maarten (Dutch part),SXM,2016,39969,100
SXM2017,Sint Maarten (Dutch part),SXM,2017,40574,100
SXM2018,Sint Maarten (Dutch part),SXM,2018,40654,100
SXM2019,Sint Maarten (Dutch part),SXM,2019,40733,0
FRO2016,Faroe Islands,FRO,2016,48173,100
